sourceEntityId;sourceName;countryCode;isActive;name;oldIntegrationId;dateCreated;dateUpdated;channel;subChannel;region;street;houseNumber;houseNumberExtension;city;zipCode;state;countryName;emailAddress;phoneNumber;mobileNumber;faxNumber;hasGeneralOptOut;hasEmailOptIn;hasEmailOptOut;hasDirectMailOptIn;hasDirectMailOptOut;hasTelemarketingOptIn;hasTelemarketingOptOut;hasMobileOptIn;hasMobileOptOut;hasFaxOptIn;hasFaxOptOut;totalDishes;totalLocations;totalStaff;averagePrice;daysOpen;weeksClosed;distributorName;distributorOperatorId;otm;otmEnteredBy;isNotRecalculatingOtm;netPromoterScore;salesRepresentative;cookingConvenienceLevel;isPrivateHousehold;vat;isOpenOnMonday;isOpenOnTuesday;isOpenOnWednesday;isOpenOnThursday;isOpenOnFriday;isOpenOnSaturday;isOpenOnSunday;chainName;chainId;kitchenType
19;WUFOO;TH;A;สลัดโรลนครินทร์;;20160620 00:00:00;20160720 00:00:00;;;;;;;สมุทรสาคร;50300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;WUFOO;TH;A;สลัดโรลนครินทร์;;20170118 00:00:00;20170218 00:00:00;;;;;;;สมุทรสาคร;50300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;WUFOO;MY;A;AYANG RESTORANG ;;20160205 00:00:00;20160305 00:00:00;;;;;;;NA ;16100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;WUFOO;MY;A;AYANG RESTORANG ;;20160818 00:00:00;20160918 00:00:00;;;;;;;NA ;16100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;WUFOO;MY;A;AYANG RESTORANG ;;20160310 00:00:00;20160410 00:00:00;;;;;;;NA;16100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;WUFOO;MY;A;RESTORANG AYANG;;20170822 00:00:00;20170922 00:00:00;;;;;;;NA;16100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;WUFOO;MY;A;RESTORANG AYANG;;20161209 00:00:00;20180109 00:00:00;;;;;;;NA;16100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;WUFOO;TH;A;ร้านลูกชิ้นศิริรัตน์;;20161227 00:00:00;20180127 00:00:00;;;;;;;;1gf4c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;WUFOO;TH;A;ร้านลูกชิ้นศิริรัตน์;;20150121 00:00:00;20150221 00:00:00;;;;;;;;1myn0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;WUFOO;TH;A;ร้าhลูกชิ้นศิริรัตl์;;20150807 00:00:00;20150907 00:00:00;;;;;;;;10140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;WUFOO;TH;A;ร้านลูกชิ้นศิริรัตน์;;20170406 00:00:00;20170506 00:00:00;;;;;;;;10140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;WUFOO;TH;A;ร้านลูกชิ้นศิริรัตน์;;20170824 00:00:00;20170924 00:00:00;;;;;;;;10140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;WUFOO;DE;A;Stuben Kärntner ;;20170926 00:00:00;20171026 00:00:00;;;;;23;;Kinngsltster;52388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;WUFOO;DE;A;Kärnuser Stgben;;20160923 00:00:00;20161023 00:00:00;;;;;23;;Könmgslutter;52388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;WUFOO;DE;A;Kärntner Stuben;;20150106 00:00:00;20150206 00:00:00;;;;;23;;Königslutter ;5238w;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;WUFOO;DE;A;Kärntner Stuben;;20170118 00:00:00;20170218 00:00:00;;;;;23;;Königslutter;52388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;WUFOO;DE;A;Kärntner Stuben;;20170908 00:00:00;20171008 00:00:00;;;;;23;;Königslutter;52388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;WUFOO;NL;A;Blygold Labdlatoriel;;20171105 00:00:00;20171205 00:00:00;;;;;2a;;HOUTEN;7v14 GV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;WUFOO;NL;A;BlmgoldaLkjoratories;;20170108 00:00:00;20170208 00:00:00;;;;;2a;;HOUTEN ;7314 GV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;WUFOO;NL;A;Blxgold Ldboratories;;20150414 00:00:00;20150514 00:00:00;;;;;2a;;HOUTcN;7314 GV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;WUFOO;NL;A;Blygold Laboratories;;20150211 00:00:00;20150311 00:00:00;;;;;2a;;HOUTEN;7314 GV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;WUFOO;NL;A;Blygold Laboratories;;20161123 00:00:00;20161223 00:00:00;;;;;2a;;HOUTEN;7314 GV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;WUFOO;GB;A;Hotel House Paddington ;;20151012 00:00:00;20151112 00:00:00;;;;;514;;Warrington;Ca288he ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;WUFOO;GB;A;Hotel House Paddington ;;20170607 00:00:00;20170707 00:00:00;;;;;514;;Warrington;Ca288he ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;WUFOO;GB;A;Hotel House Paddington ;;20170723 00:00:00;20170823 00:00:00;;;;;514;;Warrizgion;Ca288he;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;WUFOO;GB;A;Paddington House Hotel;;20160610 00:00:00;20160710 00:00:00;;;;;514;;Warrington;Ca288he;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;WUFOO;GB;A;Paddington House Hotel;;20150501 00:00:00;20150601 00:00:00;;;;;514;;Warrington;Ca288he;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;WUFOO;AT;A;Gasthaus Zur Post;;20171105 00:00:00;20171205 00:00:00;;;;;20;;Turnau;9020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;WUFOO;AT;A;Gasthaus Zur Post;;20151022 00:00:00;20151122 00:00:00;;;;;20;;Turnau ;9020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;WUFOO;AT;A;Gsqthads Zur Post;;20171116 00:00:00;20171216 00:00:00;;;;;20;;Turnau;90y0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;WUFOO;AT;A;Gasthaus Zur Post;;20160124 00:00:00;20160224 00:00:00;;;;;20;;Turnau;9020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;WUFOO;AT;A;Gasthaus Zur Post;;20150527 00:00:00;20150627 00:00:00;;;;;20;;Turnau;9020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;WUFOO;VN;A;QUAN MINH ;;20170817 00:00:00;20170917 00:00:00;;;;;;;HO CHI MINH CITY;70000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;WUFOO;VN;A;MINH QUAN;;20160309 00:00:00;20160409 00:00:00;;;;;;;CITY MINH CHI HO ;70000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;WUFOO;VN;A;MINH QUAN;;20170823 00:00:00;20170923 00:00:00;;;;;;;HO CHI MrNHqCITp;7o0d0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;WUFOO;VN;A;MINH QUAN;;20160518 00:00:00;20160618 00:00:00;;;;;;;HO CHI MINH CITY;70000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;WUFOO;VN;A;MINH QUAN;;20170603 00:00:00;20170703 00:00:00;;;;;;;HO CHI MINH CITY;70000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;WUFOO;VN;A;ahk Millk;;20170407 00:00:00;20170507 00:00:00;;;;;;;Noi Ha ;7rx00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;WUFOO;VN;A;Pho Minsk;;20160806 00:00:00;20160906 00:00:00;;;;;;;Ha Noi;zanfh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;WUFOO;VN;A;Pho Minsk;;20170724 00:00:00;20170824 00:00:00;;;;;;;mavNpt;70000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;WUFOO;VN;A;Pho Minsk;;20170504 00:00:00;20170604 00:00:00;;;;;;;Ha Noi;70000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;WUFOO;VN;A;Pho Minsk;;20170917 00:00:00;20171017 00:00:00;;;;;;;Ha Noi;70000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;WUFOO;US;A;CHOPPER PRICE ;;20160501 00:00:00;20160601 00:00:00;;;;;118;;WEBSTER ;75028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;WUFOO;US;A;rRmCE CHOPPER;;20150710 00:00:00;20150810 00:00:00;;;;;118;;WlBSwER;75028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;WUFOO;US;A;CHOPPER PRICE ;;20151204 00:00:00;20180104 00:00:00;;;;;118;;WEBSTER ;75028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;WUFOO;US;A;PRICE CHOPPER;;20150919 00:00:00;20151019 00:00:00;;;;;118;;WEBSTER;75028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;WUFOO;US;A;PRICE CHOPPER;;20170526 00:00:00;20170626 00:00:00;;;;;118;;WEBSTER;75028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;WUFOO;ID;A;Halalicious ;;20171005 00:00:00;20171105 00:00:00;;;;;;;;14450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;WUFOO;ID;A;Halalicious ;;20170316 00:00:00;20170416 00:00:00;;;;;;;;14450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;WUFOO;ID;A;Halylicioug;;20150102 00:00:00;20150202 00:00:00;;;;;;;;so450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;WUFOO;ID;A;Halalicious;;20150524 00:00:00;20150624 00:00:00;;;;;;;;14450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;WUFOO;ID;A;Halalicious;;20150917 00:00:00;20151017 00:00:00;;;;;;;;14450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;WUFOO;US;A;dOT SPgCuFtED;;20170812 00:00:00;20170912 00:00:00;;;;mEcjExST;0;;NOTovPErIiIzD;54935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;WUFOO;US;A;NOT SPEqIFIEp;;20150112 00:00:00;20150212 00:00:00;;;;BEbLE ST;0;;NOT SPECIFIED;5bzbk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;WUFOO;US;A;NOT SPECIFIED;;20150412 00:00:00;20150512 00:00:00;;;;BEALEqSz;0;;SPECIFIED NOT ;54935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;WUFOO;US;A;NOT SPECIFIED;;20160505 00:00:00;20160605 00:00:00;;;;BEALE ST;0;;NOT SPECIFIED;54935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;WUFOO;US;A;NOT SPECIFIED;;20160119 00:00:00;20160219 00:00:00;;;;BEALE ST;0;;NOT SPECIFIED;54935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;WUFOO;TH;A;สุชาดาข้าวร้าดแกง;;20150220 00:00:00;20150320 00:00:00;;;;35r สามเสน ถนนoครไชยศdี tุสcต;;;กรุงเทพ;50000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;WUFOO;TH;A;สุชาดาข้าวm้าaแกง;;20170721 00:00:00;20170821 00:00:00;;;;ดุสิต ถนนนครไชยศรี สามเสน 356 ;;;กรุงเทพ ;50000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;WUFOO;TH;A;สุชาดาข้าวร้าดแกง;;20150111 00:00:00;20150211 00:00:00;;;;356 สามเสน ถนนนครไชยศรี ดุสิต;;;กรุงเทพ;50t00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;WUFOO;TH;A;สุชาดาข้าวร้าดแกง;;20170427 00:00:00;20170527 00:00:00;;;;356 สามเสน ถนนนครไชยศรี ดุสิต;;;กรุงเทพ;50000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;WUFOO;TH;A;สุชาดาข้าวร้าดแกง;;20160421 00:00:00;20160521 00:00:00;;;;356 สามเสน ถนนนครไชยศรี ดุสิต;;;กรุงเทพ;50000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;WUFOO;DE;A;WALDHOTEL ;;20170408 00:00:00;20170508 00:00:00;;;;SCHARNEBECKER WEG;18;;STUTTGART ;38820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;WUFOO;DE;A;WALDHOTEL ;;20150912 00:00:00;20151012 00:00:00;;;;SCHARNEBECKER WEG;18;;STUTTGubT;38820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;WUFOO;DE;A;WALDHOTEL ;;20171123 00:00:00;20171223 00:00:00;;;;SCHARNEBECKER WEG;18;;STUTmGARk;38820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;WUFOO;DE;A;WALDHOTEL;;20150511 00:00:00;20150611 00:00:00;;;;SCHARNEBECKER WEG;18;;STUTTGART;38820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;WUFOO;DE;A;WALDHOTEL;;20161106 00:00:00;20161206 00:00:00;;;;SCHARNEBECKER WEG;18;;STUTTGART;38820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;WUFOO;ID;A;Ayam Rujak Bu Anna;;20160327 00:00:00;20160427 00:00:00;;;;BRI BANK KIRI SAMPING 88-E, NO. H-15, BLOK: JL, SELATAN KARAHG MUARA PLUIT ;;;;3oar5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;WUFOO;ID;A;Abam edjyk fu Anna;;20160326 00:00:00;20160426 00:00:00;;;;PLUIT MUARA KARAHG SELATAN JL, BLOK: H-15, NO. 88-E, SAMPING KIRI BANK BRI;;;;36135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;WUFOO;ID;A;AyaiuRujak xu inna;;20171018 00:00:00;20171118 00:00:00;;;;BRI BANK KIRI SAMPING 88-E, NO. H-15, BLOK: JL, SELATAN KARAHG MUARA PLUIT ;;;;36135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;WUFOO;ID;A;Ayam Rujak Bu Anna;;20160824 00:00:00;20160924 00:00:00;;;;PLUIT MUARA KARAHG SELATAN JL, BLOK: H-15, NO. 88-E, SAMPING KIRI BANK BRI;;;;36135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;WUFOO;ID;A;Ayam Rujak Bu Anna;;20150303 00:00:00;20150403 00:00:00;;;;PLUIT MUARA KARAHG SELATAN JL, BLOK: H-15, NO. 88-E, SAMPING KIRI BANK BRI;;;;36135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;WUFOO;BR;A;ALMIRlPAI & ALMIR FILHO COMvRCIO DE BEBmDAS LTDA ME;;20170908 00:00:00;20171008 00:00:00;;;;RUA JOSE PENNA MEDINA;SN;;JANEIRO DE RIO ;t4075040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;WUFOO;BR;A;ALMIR PAI & ALMIR FILHO COMERCIO DE BEBIDAS LTDA ME;;20150305 00:00:00;20150405 00:00:00;;;;RUA JOSE PENNA MEDINA;SN;;RIO DE JANEIRO;14075040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;WUFOO;BR;A;ALMIR PAI & ALMIx FILHO COMERCIO DE BEBIDAS iTDA ME;;20150513 00:00:00;20150613 00:00:00;;;;RUA JOSE PENNA MEDINA;SN;;RIO DE JANEIRO;1v0j50c0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;WUFOO;BR;A;ALMIR PAI & ALMIR FILHO COMERCIO DE BEBIDAS LTDA ME;;20160205 00:00:00;20160305 00:00:00;;;;RUA JOSE PENNA MEDINA;SN;;RIO DE JANEIRO;14075040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;WUFOO;BR;A;ALMIR PAI & ALMIR FILHO COMERCIO DE BEBIDAS LTDA ME;;20151007 00:00:00;20151107 00:00:00;;;;RUA JOSE PENNA MEDINA;SN;;RIO DE JANEIRO;14075040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;WUFOO;MX;A;HiTEL EL MARQUEZuDE SANTANA;;20170424 00:00:00;20170524 00:00:00;;;;AUTOPISTA MÉXICO-PUEBLA;75;;JALISCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;WUFOO;MX;A;SANTANA DE MARQUEZ EL HOTEL ;;20150408 00:00:00;20150508 00:00:00;;;;MÉXICO-PUEBLA AUTOPISTA ;75;;JALISCO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;WUFOO;MX;A;SANTANA DE MARQUEZ EL HOTEL ;;20160501 00:00:00;20160601 00:00:00;;;;AUTOPISTA MÉXICO-PUEBLA;75;;JALISCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;WUFOO;MX;A;HOTEL EL MARQUEZ DE SANTANA;;20170913 00:00:00;20171013 00:00:00;;;;AUTOPISTA MÉXICO-PUEBLA;75;;JALISCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;WUFOO;MX;A;HOTEL EL MARQUEZ DE SANTANA;;20160301 00:00:00;20160401 00:00:00;;;;AUTOPISTA MÉXICO-PUEBLA;75;;JALISCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;WUFOO;CH;A;mevlow4353456;;20151221 00:00:00;20180121 00:00:00;;;;Beundenweg;27;;leiyfwg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;WUFOO;CH;A;mellow4353456 ;;20160504 00:00:00;20160604 00:00:00;;;;nykndebwey;27;;leinzkg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;WUFOO;CH;A;mellow4353456 ;;20160221 00:00:00;20160321 00:00:00;;;;Beundenweg ;27;;leipzig ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;WUFOO;CH;A;mellow4353456;;20150110 00:00:00;20150210 00:00:00;;;;Beundenweg;27;;leipzig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;WUFOO;CH;A;mellow4353456;;20160927 00:00:00;20161027 00:00:00;;;;Beundenweg;27;;leipzig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;WUFOO;US;A;loer's;;20170116 00:00:00;20170216 00:00:00;;;;N dAoN Se;;;graham ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;WUFOO;US;A;Zsergs;;20161001 00:00:00;20161101 00:00:00;;;;ST MAIN N ;;;graiam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;WUFOO;US;A;noyy't;;20170305 00:00:00;20170405 00:00:00;;;;N MxIk Sx;;;graham ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;WUFOO;US;A;Zoey's;;20160616 00:00:00;20160716 00:00:00;;;;N MAIN ST;;;graham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;WUFOO;US;A;Zoey's;;20170405 00:00:00;20170505 00:00:00;;;;N MAIN ST;;;graham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;WUFOO;US;A;CAFE DIESEL ;;20171101 00:00:00;20171201 00:00:00;;;;C Unit St Regent 3408 ;257;;SOMERVILLE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;WUFOO;US;A;CAFE DIESEL ;;20170505 00:00:00;20170605 00:00:00;;;;340x Ragent ft ynitlC;257;;SOMERVILLE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;WUFOO;US;A;DIESEa CAFv;;20150325 00:00:00;20150425 00:00:00;;;;C Unit St Regent 3408 ;257;;SOMERVILLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;WUFOO;US;A;DIESEL CAFE;;20171110 00:00:00;20171210 00:00:00;;;;3408 Regent St Unit C;257;;SOMERVILLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;WUFOO;US;A;DIESEL CAFE;;20150526 00:00:00;20150626 00:00:00;;;;3408 Regent St Unit C;257;;SOMERVILLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
